InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536395,22188,BLACK HEART CARD HOLDER,8,1/12/10 10:47,3.95,13767,United Kingdom
536396,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,1/12/10 10:51,2.55,17850,United Kingdom
536397,35004B,SET OF 3 BLACK FLYING DUCKS,12,1/12/10 10:51,4.65,17924,United Kingdom
536398,21980,PACK OF 12 RED RETROSPOT TISSUES ,24,1/12/10 10:52,0.29,13448,United Kingdom
536399,22632,HAND WARMER RED POLKA DOT,6,1/12/10 10:52,1.85,17850,United Kingdom
536400,22969,HOMEMADE JAM SCENTED CANDLES,12,1/12/10 10:53,1.45,13448,United Kingdom
536401,22110,BIRD HOUSE HOT WATER BOTTLE,1,1/12/10 11:21,2.55,15862,United Kingdom
536402,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,1/12/10 11:22,2.55,15513,United Kingdom
536403,22867,HAND WARMER BIRD DESIGN,96,1/12/10 11:27,1.85,12791,Netherlands
536404,22297,HEART IVORY TRELLIS SMALL,24,1/12/10 11:29,1.25,16218,United Kingdom
536405,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,128,1/12/10 11:32,2.55,14045,United Kingdom
536406,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,1/12/10 11:33,2.55,17850,United Kingdom
536407,22632,HAND WARMER RED POLKA DOT,6,1/12/10 11:34,1.85,17850,United Kingdom
536408,22537,MAGIC DRAWING SLATE DINOSAUR,24,1/12/10 11:41,0.42,14307,United Kingdom
536409,90199C,5 STRAND GLASS NECKLACE CRYSTAL,3,1/12/10 11:45,6.35,17908,United Kingdom
536412,20728,LUNCH BAG CARS BLUE,3,1/12/10 11:49,1.65,17920,United Kingdom
536415,22952,60 CAKE CASES VINTAGE CHRISTMAS,10,1/12/10 11:57,0.55,12838,United Kingdom
536416,21494,ROTATING LEAVES T-LIGHT HOLDER,12,1/12/10 11:58,1.25,13255,United Kingdom
536420,21889,WOODEN BOX OF DOMINOES,12,1/12/10 12:03,1.25,16583,United Kingdom
536423,22619,SET OF 6 SOLDIER SKITTLES,4,1/12/10 12:08,3.75,18085,United Kingdom
536425,22837,HOT WATER BOTTLE BABUSHKA ,8,1/12/10 12:08,4.65,13758,United Kingdom
536437,21154,RED RETROSPOT OVEN GLOVE ,200,1/12/10 12:12,1.06,13694,United Kingdom
536446,85172,HYACINTH BULB T-LIGHT CANDLES,32,1/12/10 12:15,0.42,15983,United Kingdom
536460,22670,FRENCH WC SIGN BLUE METAL,12,1/12/10 12:22,1.25,14849,United Kingdom
536463,82552,WASHROOM METAL SIGN,12,1/12/10 12:22,1.45,14849,United Kingdom
536464,90200B,BLACK SWEETHEART BRACELET,2,1/12/10 12:23,4.25,17968,United Kingdom
536466,22960,JAM MAKING SET WITH JARS,6,1/12/10 12:23,4.25,14849,United Kingdom
536477,21314,SMALL GLASS HEART TRINKET POT,48,1/12/10 12:27,1.85,16210,United Kingdom
536488,22738,RIBBON REEL SNOWY VILLAGE,5,1/12/10 12:31,1.65,17897,United Kingdom
536500,21622,VINTAGE UNION JACK CUSHION COVER,10,1/12/10 12:35,4.95,17377,United Kingdom
536502,84879,ASSORTED COLOUR BIRD ORNAMENT,16,1/12/10 12:36,1.69,16552,United Kingdom
536508,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,72,1/12/10 12:38,1.06,17181,United Kingdom
C536506,22960,JAM MAKING SET WITH JARS,-6,1/12/10 12:38,4.25,17897,United Kingdom
536514,22865,HAND WARMER OWL DESIGN,36,1/12/10 12:40,2.1,17951,United Kingdom
536520,21794,CLASSIC FRENCH STYLE BASKET NATURAL,1,1/12/10 12:43,6.75,14729,United Kingdom
536521,22854,CREAM SWEETHEART EGG HOLDER,1,1/12/10 12:48,4.95,12748,United Kingdom
536522,84997D,PINK 3 PIECE POLKADOT CUTLERY SET,1,1/12/10 12:49,3.75,15012,United Kingdom
536523,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,6,1/12/10 12:50,4.95,12868,United Kingdom
536524,21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",6,1/12/10 12:51,2.95,17572,United Kingdom
536525,21826,EIGHT PIECE DINOSAUR SET,2,1/12/10 12:54,1.25,14078,United Kingdom
536526,21135,VICTORIAN  METAL POSTCARD SPRING,16,1/12/10 12:58,1.69,14001,United Kingdom
536527,22809,SET OF 6 T-LIGHTS SANTA,6,1/12/10 13:04,2.95,12662,Germany
536528,22815,CARD PSYCHEDELIC APPLES,12,1/12/10 13:17,0.42,15525,United Kingdom
536529,22222,CAKE PLATE LOVEBIRD WHITE,3,1/12/10 13:20,4.95,14237,United Kingdom
536530,22360,GLASS JAR ENGLISH CONFECTIONERY,2,1/12/10 13:21,2.95,17905,United Kingdom
536531,21519,GIN & TONIC DIET GREETING CARD ,24,1/12/10 13:23,0.42,15485,United Kingdom
536532,84692,BOX OF 24 COCKTAIL PARASOLS,50,1/12/10 13:24,0.42,12433,Norway
536533,20754,RETROSPOT RED WASHING UP GLOVES,6,1/12/10 13:31,2.1,16955,United Kingdom
536534,22866,HAND WARMER SCOTTY DOG DESIGN,12,1/12/10 13:33,2.1,15350,United Kingdom
536535,22943,CHRISTMAS LIGHTS 10 VINTAGE BAUBLES,3,1/12/10 13:38,4.95,15605,United Kingdom
536536,21485,RETROSPOT HEART HOT WATER BOTTLE,3,1/12/10 13:45,4.95,18144,United Kingdom
536537,22277,COSMETIC BAG VINTAGE ROSE PAISLEY,36,1/12/10 13:51,2.1,15922,United Kingdom
536538,21466,RED FLOWER CROCHET FOOD COVER,1,1/12/10 13:54,3.75,14594,United Kingdom
536539,22969,HOMEMADE JAM SCENTED CANDLES,12,1/12/10 14:03,1.45,15165,United Kingdom
536540,22968,ROSE COTTAGE KEEPSAKE BOX ,4,1/12/10 14:05,9.95,14911,EIRE
536541,21915,RED  HARMONICA IN BOX ,12,1/12/10 14:05,1.25,14911,EIRE
536542,22382,LUNCH BAG SPACEBOY DESIGN ,10,1/12/10 14:11,1.65,16456,United Kingdom
C536543,22632,HAND WARMER RED RETROSPOT,-1,1/12/10 14:30,2.1,17841,United Kingdom
C536548,22244,3 HOOK HANGER MAGIC GARDEN,-4,1/12/10 14:33,1.95,12472,Germany
536551,84970L,SINGLE HEART ZINC T-LIGHT HOLDER,1,1/12/10 14:34,0.95,17346,United Kingdom
536556,22599,CHRISTMAS MUSICAL ZINC STAR,12,1/12/10 14:38,0.85,17643,United Kingdom
536557,21495,SKULLS AND CROSSBONES WRAP,25,1/12/10 14:41,0.42,17841,United Kingdom
536559,84884A,ANT WHITE WIRE HEART SPIRAL,10,1/12/10 14:54,3.95,17873,United Kingdom
536560,79321,CHILLI LIGHTS,48,1/12/10 15:00,4.25,13093,United Kingdom
536561,22318,FIVE HEART HANGING DECORATION,6,1/12/10 15:06,2.95,12921,United Kingdom
536562,21777,RECIPE BOX WITH METAL HEART,2,1/12/10 15:08,7.95,13468,United Kingdom
536563,85199S,SMALL HANGING IVORY/RED WOOD BIRD,72,1/12/10 15:08,0.42,17760,United Kingdom
536564,37446,MINI CAKE STAND WITH HANGING CAKES,8,1/12/10 15:08,1.45,13468,United Kingdom
536566,21668,RED STRIPE CERAMIC DRAWER KNOB,6,1/12/10 15:21,1.25,16928,United Kingdom
536567,22867,HAND WARMER BIRD DESIGN,24,1/12/10 15:27,2.1,16048,United Kingdom
536568,22915,ASSORTED BOTTLE TOP  MAGNETS ,12,1/12/10 15:28,0.42,16048,United Kingdom
536569,22171,3 HOOK PHOTO SHELF ANTIQUE WHITE,1,1/12/10 15:35,8.5,16274,United Kingdom
536570,84836,ZINC METAL HEART DECORATION,12,1/12/10 15:35,1.25,14496,United Kingdom
536571,85032D,YULETIDE IMAGES GIFT WRAP SET,6,1/12/10 15:37,2.1,14696,United Kingdom
536572,22589,CARDHOLDER GINGHAM STAR,6,1/12/10 15:40,2.55,16539,United Kingdom
536573,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,1/12/10 15:45,0.65,17025,United Kingdom
536574,21756,BATH BUILDING BLOCK WORD,3,1/12/10 15:46,5.95,17025,United Kingdom
536575,21864,UNION JACK FLAG PASSPORT COVER ,72,1/12/10 16:01,1.69,13777,United Kingdom
536576,22041,"RECORD FRAME 7"" SINGLE SIZE ",144,1/12/10 16:11,2.1,13777,United Kingdom
536577,20725,LUNCH BAG RED RETROSPOT,60,1/12/10 16:13,1.45,13777,United Kingdom
536578,22837,HOT WATER BOTTLE BABUSHKA ,12,1/12/10 16:15,4.65,17690,United Kingdom
536579,21232,STRAWBERRY CERAMIC TRINKET BOX,216,1/12/10 16:16,1.06,13777,United Kingdom
536580,22966,GINGERBREAD MAN COOKIE CUTTER,12,1/12/10 16:17,1.25,17690,United Kingdom
536581,85099B,JUMBO BAG RED RETROSPOT,200,1/12/10 16:19,1.65,13777,United Kingdom
536582,21668,RED STRIPE CERAMIC DRAWER KNOB,12,1/12/10 16:21,1.25,12947,United Kingdom
536583,21156,RETROSPOT CHILDRENS APRON,120,1/12/10 16:21,1.65,13777,United Kingdom
536584,84029E,RED WOOLLY HOTTIE WHITE HEART.,384,1/12/10 16:22,2.95,13777,United Kingdom
536585,37449,CERAMIC CAKE STAND + HANGING CAKES,2,1/12/10 16:24,9.95,17460,United Kingdom
536586,22846,BREAD BIN DINER STYLE RED ,8,1/12/10 16:25,14.95,18229,United Kingdom
536587,37448,CERAMIC CAKE DESIGN SPOTTED MUG,12,1/12/10 16:33,1.49,14142,United Kingdom
536588,22960,JAM MAKING SET WITH JARS,6,1/12/10 16:49,4.25,17069,United Kingdom
536590,22969,HOMEMADE JAM SCENTED CANDLES,12,1/12/10 16:52,1.45,13065,United Kingdom
536591,21427,SKULLS STORAGE BOX SMALL,1,1/12/10 16:57,2.1,14606,United Kingdom
536593,21524,DOORMAT SPOTTY HOME SWEET HOME,2,1/12/10 17:15,7.95,16835,United Kingdom
536594,21733,RED HANGING HEART T-LIGHT HOLDER,6,1/12/10 17:22,2.95,15235,United Kingdom
536595,21877,HOME SWEET HOME MUG,1,1/12/10 17:24,1.25,13576,United Kingdom
536597,22952,60 CAKE CASES VINTAGE CHRISTMAS,4,1/12/10 17:35,0.55,18011,United Kingdom
536598,21421,PORCELAIN ROSE LARGE ,12,2/12/10 7:48,1.25,13090,United Kingdom
536599,22968,ROSE COTTAGE KEEPSAKE BOX ,8,2/12/10 7:49,8.5,15694,United Kingdom
536600,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 8:32,2.55,17850,United Kingdom
536601,22632,HAND WARMER RED POLKA DOT,6,2/12/10 8:33,1.85,17850,United Kingdom
536602,37370,RETRO COFFEE MUGS ASSORTED,6,2/12/10 8:34,1.06,17850,United Kingdom
536603,22632,HAND WARMER RED POLKA DOT,6,2/12/10 8:40,1.85,17850,United Kingdom
536604,84832,ZINC WILLIE WINKIE  CANDLE STICK,12,2/12/10 8:43,0.85,14741,United Kingdom
536605,21364,PEACE SMALL WOOD LETTERS,2,2/12/10 8:52,6.75,13715,United Kingdom
C536606,20914,SET/5 RED RETROSPOT LID GLASS BOWLS,-2,2/12/10 9:10,2.95,14092,United Kingdom
536607,72760B,VINTAGE CREAM 3 BASKET CAKE STAND,2,2/12/10 9:29,9.95,17732,United Kingdom
536608,22863,SOAP DISH BROCANTE,6,2/12/10 9:37,2.95,12855,United Kingdom
536609,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 9:41,2.55,17850,United Kingdom
536610,22632,HAND WARMER RED POLKA DOT,6,2/12/10 9:42,1.85,17850,United Kingdom
536611,22865,HAND WARMER OWL DESIGN,12,2/12/10 9:43,2.1,15752,United Kingdom
536612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 9:44,2.55,17850,United Kingdom
536613,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2/12/10 9:44,2.1,17855,United Kingdom
536614,22632,HAND WARMER RED POLKA DOT,6,2/12/10 9:44,1.85,17850,United Kingdom
536615,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2/12/10 10:09,1.95,14047,United Kingdom
536616,21137,BLACK RECORD COVER FRAME,72,2/12/10 10:10,3.39,17925,United Kingdom
536617,21356,TOAST ITS - FAIRY FLOWER,12,2/12/10 10:17,1.25,13941,United Kingdom
536618,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2/12/10 10:17,0.65,17017,United Kingdom
536619,22960,JAM MAKING SET WITH JARS,12,2/12/10 10:18,3.75,17017,United Kingdom
536620,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2/12/10 10:27,2.1,14135,United Kingdom
536621,22549,PICTURE DOMINOES,24,2/12/10 10:35,1.45,13108,United Kingdom
C536622,22752,SET 7 BABUSHKA NESTING BOXES,-2,2/12/10 10:37,8.5,12471,Germany
536623,21355,TOAST ITS - I LOVE YOU ,24,2/12/10 10:39,1.25,15601,United Kingdom
536624,22676,FRENCH BLUE METAL DOOR SIGN 1,10,2/12/10 10:45,1.25,13418,United Kingdom
536626,22965,3 TRADITIONAl BISCUIT CUTTERS  SET,6,2/12/10 10:46,2.1,13418,United Kingdom
C536625,22839,3 TIER CAKE TIN GREEN AND CREAM,-2,2/12/10 10:46,14.95,14766,United Kingdom
536627,22927,GREEN GIANT GARDEN THERMOMETER,2,2/12/10 10:53,5.95,15658,United Kingdom
536628,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 10:54,2.55,17850,United Kingdom
536629,22632,HAND WARMER RED POLKA DOT,6,2/12/10 10:55,1.85,17850,United Kingdom
536630,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 10:56,2.55,17850,United Kingdom
536631,22632,HAND WARMER RED POLKA DOT,6,2/12/10 10:58,1.85,17850,United Kingdom
536632,21931,JUMBO STORAGE BAG SUKI,10,2/12/10 11:02,1.95,14388,United Kingdom
536633,22952,60 CAKE CASES VINTAGE CHRISTMAS,24,2/12/10 11:20,0.55,14901,United Kingdom
536634,22457,NATURAL SLATE HEART CHALKBOARD ,4,2/12/10 11:21,2.95,18041,United Kingdom
536635,21429,RED GINGHAM ROSE JEWELLERY BOX,16,2/12/10 11:22,1.65,15955,United Kingdom
536636,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,36,2/12/10 11:23,2.95,15070,United Kingdom
536637,22198,LARGE POPCORN HOLDER ,2,2/12/10 11:35,1.65,18041,United Kingdom
536638,20992,JAZZ HEARTS PURSE NOTEBOOK,12,2/12/10 11:41,0.85,16244,United Kingdom
536639,22632,HAND WARMER RED RETROSPOT,12,2/12/10 11:45,2.1,15111,United Kingdom
536641,22187,GREEN CHRISTMAS TREE CARD HOLDER,1,2/12/10 11:46,4.25,12748,United Kingdom
C536642,21463,MIRRORED DISCO BALL ,-1,2/12/10 11:56,5.95,14390,United Kingdom
536643,85136A,YELLOW SHARK HELICOPTER,1,2/12/10 11:57,7.95,14390,United Kingdom
536663,22867,HAND WARMER BIRD DESIGN,24,2/12/10 12:07,2.1,16546,United Kingdom
536667,22601,CHRISTMAS RETROSPOT ANGEL WOOD,24,2/12/10 12:09,0.85,15260,United Kingdom
536670,22469,HEART OF WICKER SMALL,40,2/12/10 12:09,1.45,15260,United Kingdom
536671,85061W,WHITE JEWELLED HEART DECORATION,24,2/12/10 12:10,0.85,13305,United Kingdom
536672,22812,PACK 3 BOXES CHRISTMAS PANNETONE,24,2/12/10 12:10,1.95,14491,United Kingdom
536673,21014,SWISS CHALET TREE DECORATION ,60,2/12/10 12:11,0.85,14060,United Kingdom
536674,21034,REX CASH+CARRY JUMBO SHOPPER,5,2/12/10 12:16,0.95,15923,United Kingdom
536676,84846A,SCENTED CANDLE IN DIGITALIS TIN,6,2/12/10 12:18,2.1,16752,United Kingdom
536681,84406B,CREAM CUPID HEARTS COAT HANGER,1,2/12/10 12:22,3.25,17287,United Kingdom
536685,84029E,RED WOOLLY HOTTIE WHITE HEART.,8,2/12/10 12:23,3.39,17850,United Kingdom
536688,22632,HAND WARMER RED POLKA DOT,6,2/12/10 12:24,1.85,17850,United Kingdom
536690,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 12:25,2.55,17850,United Kingdom
536693,22632,HAND WARMER RED POLKA DOT,6,2/12/10 12:26,1.85,17850,United Kingdom
536698,21731,RED TOADSTOOL LED NIGHT LIGHT,12,2/12/10 12:28,1.65,15363,United Kingdom
536707,37495,FAIRY CAKE BIRTHDAY CANDLE SET,4,2/12/10 12:33,3.75,12915,United Kingdom
536732,21238,RED RETROSPOT CUP,8,2/12/10 12:47,0.85,15544,United Kingdom
536733,21206,STRAWBERRY HONEYCOMB  GARLAND ,12,2/12/10 12:50,1.65,15738,United Kingdom
C536734,22780,LIGHT GARLAND BUTTERFILES PINK,-4,2/12/10 12:50,4.25,16042,United Kingdom
536735,22659,LUNCH BOX I LOVE LONDON,128,2/12/10 12:58,1.65,17381,United Kingdom
536736,21703,BAG 125g SWIRLY MARBLES,192,2/12/10 12:59,0.42,17381,United Kingdom
C536737,22798,ANTIQUE GLASS DRESSING TABLE POT,-2,2/12/10 13:05,2.95,15922,United Kingdom
536738,22806,SET OF 6 T-LIGHTS WEDDING CAKE ,6,2/12/10 13:06,2.95,15827,United Kingdom
536739,22666,RECIPE BOX PANTRY YELLOW DESIGN,6,2/12/10 13:08,2.95,14180,United Kingdom
536740,22963,JAM JAR WITH GREEN LID,12,2/12/10 13:08,0.85,15827,United Kingdom
536741,17090D,VANILLA INCENSE 40 CONES IN TIN,6,2/12/10 13:11,1.25,13117,United Kingdom
536742,47504H,ENGLISH ROSE SPIRIT LEVEL ,1,2/12/10 13:14,1.95,16916,United Kingdom
536743,22045,SPACEBOY GIFT WRAP,25,2/12/10 13:32,0.42,17964,United Kingdom
536744,22898,CHILDRENS APRON APPLES DESIGN,25,2/12/10 13:36,1.95,14466,United Kingdom
536745,22738,RIBBON REEL SNOWY VILLAGE,30,2/12/10 13:38,1.65,17235,United Kingdom
536746,22768,FAMILY PHOTO FRAME CORNICE,2,2/12/10 13:39,9.95,16510,United Kingdom
536747,16156S,WRAP PINK FAIRY CAKES ,25,2/12/10 13:44,0.42,17802,United Kingdom
536748,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,12,2/12/10 13:45,0.85,15107,United Kingdom
536749,84029G,KNITTED UNION FLAG HOT WATER BOTTLE,1,2/12/10 13:49,3.75,17976,United Kingdom
536750,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2/12/10 14:04,2.55,17850,United Kingdom
536751,22632,HAND WARMER RED POLKA DOT,6,2/12/10 14:05,1.85,17850,United Kingdom
536752,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 14:06,2.55,17850,United Kingdom
536753,22632,HAND WARMER RED POLKA DOT,6,2/12/10 14:07,1.85,17850,United Kingdom
536754,22988,SOLDIERS EGG CUP ,2,2/12/10 14:09,1.25,14449,United Kingdom
C536757,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,-9360,2/12/10 14:23,0.03,15838,United Kingdom
C536758,21314,SMALL GLASS HEART TRINKET POT,-1,2/12/10 14:25,2.1,13767,United Kingdom
536759,48111,DOORMAT 3 SMILEY CATS,4,2/12/10 14:26,7.95,16781,United Kingdom
C536760,22175,PINK OWL SOFT TOY,-1,2/12/10 14:29,2.95,17547,United Kingdom
536761,21116,OWL DOORSTOP,3,2/12/10 14:30,4.95,13491,United Kingdom
536762,20972,PINK CREAM FELT CRAFT TRINKET BOX ,12,2/12/10 14:40,1.25,16186,United Kingdom
536763,85114A,BLACK ENCHANTED FOREST PLACEMAT,120,2/12/10 14:42,1.45,17685,United Kingdom
536769,22776,SWEETHEART CAKESTAND 3 TIER,4,2/12/10 14:47,9.95,17581,United Kingdom
536771,22558,CLOTHES PEGS RETROSPOT PACK 24 ,12,2/12/10 14:49,1.49,17581,United Kingdom
536777,20975,12 PENCILS SMALL TUBE RED RETROSPOT,24,2/12/10 15:00,0.65,15732,United Kingdom
536778,21422,PORCELAIN ROSE SMALL,16,2/12/10 15:03,0.85,13138,United Kingdom
536779,BANK CHARGES,Bank Charges,1,2/12/10 15:08,15,15823,United Kingdom
536781,22865,HAND WARMER OWL DESIGN,24,2/12/10 15:14,2.1,17460,United Kingdom
536782,22111,SCOTTIE DOG HOT WATER BOTTLE,3,2/12/10 15:18,4.95,17567,United Kingdom
536783,22530,MAGIC DRAWING SLATE DOLLY GIRL ,60,2/12/10 15:19,0.36,15061,United Kingdom
536784,85116,BLACK CANDELABRA T-LIGHT HOLDER,24,2/12/10 15:20,1.25,15061,United Kingdom
536785,84946,ANTIQUE SILVER TEA GLASS ETCHED,216,2/12/10 15:22,1.06,15061,United Kingdom
536786,85178,VICTORIAN SEWING KIT,96,2/12/10 15:23,1.25,15061,United Kingdom
536787,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,2/12/10 15:24,2.55,17850,United Kingdom
536788,22558,CLOTHES PEGS RETROSPOT PACK 24 ,60,2/12/10 15:25,1.25,15061,United Kingdom
536789,22633,HAND WARMER UNION JACK,6,2/12/10 15:25,1.85,17850,United Kingdom
536790,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,2/12/10 15:26,2.95,17850,United Kingdom
536791,22632,HAND WARMER RED POLKA DOT,12,2/12/10 15:27,1.85,17850,United Kingdom
536792,22558,CLOTHES PEGS RETROSPOT PACK 24 ,24,2/12/10 15:28,1.25,15061,United Kingdom
536793,22727,ALARM CLOCK BAKELIKE RED ,4,2/12/10 15:39,3.75,16203,United Kingdom
536794,21314,SMALL GLASS HEART TRINKET POT,24,2/12/10 15:40,2.1,13767,United Kingdom
536795,22086,PAPER CHAIN KIT 50'S CHRISTMAS ,40,2/12/10 15:40,2.55,15640,United Kingdom
536796,22376,AIRLINE BAG VINTAGE JET SET WHITE,1,2/12/10 15:46,4.25,15574,United Kingdom
536797,90002D,FLOWER BURST SILVER RING CRYSTAL,4,2/12/10 15:49,3.75,16770,United Kingdom
536798,22427,ENAMEL FLOWER JUG CREAM,1,2/12/10 15:55,5.95,17838,United Kingdom
536799,21931,JUMBO STORAGE BAG SUKI,3,2/12/10 16:00,1.95,17228,United Kingdom
536800,22960,JAM MAKING SET WITH JARS,6,2/12/10 16:12,4.25,14829,United Kingdom
536802,22735,RIBBON REEL SOCKS AND MITTENS,10,2/12/10 16:29,1.65,17412,United Kingdom
536803,22113,GREY HEART HOT WATER BOTTLE,6,2/12/10 16:33,3.75,14911,EIRE
536804,21745,GAOLERS KEYS DECORATIVE GARDEN ,24,2/12/10 16:34,3.39,14031,United Kingdom
536805,21788,KIDS RAIN MAC BLUE,24,2/12/10 16:38,0.85,14775,United Kingdom
536806,21803,CHRISTMAS TREE STAR DECORATION,36,2/12/10 16:42,0.42,12971,United Kingdom
C536807,22501,PICNIC BASKET WICKER LARGE,-2,2/12/10 16:45,9.95,15834,United Kingdom
536808,22423,REGENCY CAKESTAND 3 TIER,1,2/12/10 16:46,12.75,17659,United Kingdom
536809,84950,ASSORTED COLOUR T-LIGHT HOLDER,1824,2/12/10 16:48,0.55,15299,United Kingdom
536810,21833,CAMOUFLAGE LED TORCH,204,2/12/10 16:50,1.49,15299,United Kingdom
536811,22275,WEEKEND BAG VINTAGE ROSE PAISLEY,69,2/12/10 16:51,7.65,15299,United Kingdom
C536812,22578,WOODEN STAR CHRISTMAS SCANDINAVIAN,-36,2/12/10 16:58,0.85,16546,United Kingdom
536813,37450,CERAMIC CAKE BOWL + HANGING CAKES,6,2/12/10 16:59,2.95,15646,United Kingdom
C536814,21527,RED RETROSPOT TRADITIONAL TEAPOT ,-2,2/12/10 17:03,7.95,13958,United Kingdom
C536815,85175,CACTI T-LIGHT CANDLES,-1,2/12/10 17:05,0.42,14443,United Kingdom
C536816,21129,SILVER FISHING GNOME ,-2,2/12/10 17:06,6.95,14443,United Kingdom
C536817,22187,GREEN CHRISTMAS TREE CARD HOLDER,-1,2/12/10 17:08,4.25,14156,EIRE
C536818,84947,ANTIQUE SILVER TEA GLASS ENGRAVED,-1,2/12/10 17:09,1.25,16995,United Kingdom
536819,22427,ENAMEL FLOWER JUG CREAM,3,2/12/10 17:12,5.95,13402,United Kingdom
C536820,22877,NUMBER TILE COTTAGE GARDEN 9,-1,2/12/10 17:14,1.95,18168,United Kingdom
536821,22630,DOLLY GIRL LUNCH BOX,1,2/12/10 17:17,1.95,17757,United Kingdom
C536822,22847,BREAD BIN DINER STYLE IVORY,-2,2/12/10 17:19,16.95,14625,United Kingdom
